EP:189, Avg_Score:925.2
EP:190, Avg_Score:822.0
EP:191, Avg_Score:2264.4
EP:192, Avg_Score:966.4
EP:193, Avg_Score:1433.0
EP:194, Avg_Score:2757.9
EP:195, Avg_Score:1728.1
EP:196, Avg_Score:2198.1
EP:197, Avg_Score:133.4
EP:198, Avg_Score:2289.9
EP:199, Avg_Score:415.9
EP:200, Avg_Score:2804.8
EP:201, Avg_Score:2391.2
EP:202, Avg_Score:2152.6
EP:203, Avg_Score:826.3
EP:204, Avg_Score:2104.5
EP:205, Avg_Score:403.6
EP:206, Avg_Score:1206.8
EP:207, Avg_Score:2667.7
EP:208, Avg_Score:2129.1
EP:209, Avg_Score:1951.2
EP:210, Avg_Score:1085.6
EP:211, Avg_Score:2222.2
EP:212, Avg_Score:1454.2
EP:213, Avg_Score:922.5
EP:214, Avg_Score:1396.3
EP:215, Avg_Score:2222.7
EP:216, Avg_Score:2261.0
EP:217, Avg_Score:1614.9
EP:218, Avg_Score:1768.8
EP:219, Avg_Score:1097.6
EP:220, Avg_Score:1696.8
EP:221, Avg_Score:692.7
EP:222, Avg_Score:3032.8
EP:223, Avg_Score:2464.0
EP:224, Avg_Score:1740.2
EP:225, Avg_Score:2703.0
EP:226, Avg_Score:1358.9
EP:227, Avg_Score:1651.0
EP:228, Avg_Score:891.3
EP:229, Avg_Score:1642.4
EP:230, Avg_Score:1609.1
EP:231, Avg_Score:1865.1
EP:232, Avg_Score:2568.6
EP:233, Avg_Score:2870.1
EP:234, Avg_Score:644.2
EP:235, Avg_Score:1605.7
EP:236, Avg_Score:2112.2
EP:237, Avg_Score:2526.3
EP:238, Avg_Score:2835.0
EP:239, Avg_Score:1936.1
EP:240, Avg_Score:1878.1
EP:241, Avg_Score:2061.7
EP:242, Avg_Score:2694.9
EP:243, Avg_Score:1797.6
EP:244, Avg_Score:2587.2
EP:245, Avg_Score:1548.0
EP:246, Avg_Score:2700.5
EP:247, Avg_Score:1007.9
EP:248, Avg_Score:1294.9
EP:249, Avg_Score:1868.6
EP:250, Avg_Score:1788.3
EP:251, Avg_Score:1910.2
EP:252, Avg_Score:2256.2
EP:253, Avg_Score:1474.1
EP:254, Avg_Score:2282.1
EP:255, Avg_Score:321.7
EP:256, Avg_Score:883.1
EP:257, Avg_Score:1177.5
EP:258, Avg_Score:753.9
EP:259, Avg_Score:597.9
EP:260, Avg_Score:1623.9
EP:261, Avg_Score:2971.7
EP:262, Avg_Score:354.4
EP:263, Avg_Score:417.8
EP:264, Avg_Score:1622.6
EP:265, Avg_Score:1203.4
EP:266, Avg_Score:1943.5
EP:267, Avg_Score:1814.1
EP:268, Avg_Score:2429.7
EP:269, Avg_Score:406.8
EP:270, Avg_Score:2113.6
EP:271, Avg_Score:2425.9
EP:272, Avg_Score:1625.1
EP:273, Avg_Score:2301.2
EP:274, Avg_Score:638.0
EP:275, Avg_Score:1663.1
EP:276, Avg_Score:1831.9
EP:277, Avg_Score:1264.1
EP:278, Avg_Score:2001.2
EP:279, Avg_Score:1298.5
EP:280, Avg_Score:1629.3
EP:281, Avg_Score:1835.2
EP:282, Avg_Score:1102.6
EP:283, Avg_Score:1297.1
EP:284, Avg_Score:1592.2
EP:285, Avg_Score:641.0
EP:286, Avg_Score:664.2
EP:287, Avg_Score:399.1
EP:288, Avg_Score:2540.4
EP:289, Avg_Score:2878.2
EP:290, Avg_Score:545.6
EP:291, Avg_Score:3139.3
EP:292, Avg_Score:2509.4
EP:293, Avg_Score:2597.8
EP:294, Avg_Score:446.3
EP:295, Avg_Score:150.6
EP:296, Avg_Score:311.7
EP:297, Avg_Score:1566.1
EP:298, Avg_Score:3000.8
EP:299, Avg_Score:-383.5
EP:300, Avg_Score:2660.0
EP:301, Avg_Score:2045.2
EP:302, Avg_Score:-233.3
EP:303, Avg_Score:1688.3
EP:304, Avg_Score:-3845.2
EP:305, Avg_Score:1237.4
EP:306, Avg_Score:1067.3
EP:307, Avg_Score:2218.5
EP:308, Avg_Score:2207.9
EP:309, Avg_Score:2971.4
EP:310, Avg_Score:15.0
EP:311, Avg_Score:1155.9
